household_id,id,country,region,area,community,dataset,d_seagrass,d_coral,d_mangrove,seagrass_10km,coral_10km,mangrove_10km,seagrass_coral_10km,regional_hdi,country_hdi,poverty,families_n,men_n,women_n,adults,children_n,people_total,first_adult,subsequent_adults,children,OECD-modified scale,not_working,retired,dependents_n,aquaculture,builder,carpenter,civil_servant,driver,farmer,middleman,fishing,tourism,landlord,manufacturing,mining,misc,religious,trade,admin,teaching,ocupational_multiplicity,multiplicity,non_fishing_livilihoods,own_fishing_vessel,fishing_vessel_n,fishing_vessel_type,own_motorboat,own_traditional_boat,own_fishing_gear,fishing_gear_n,fishing_gear_capital,fishing_gear_type,no_gear,static,traps,motile,basic,fishing_capital,direct_benefit,income_benefit,food_benefit,benefits,0_benefit,currency,PPP,year,inflation,annual_household_income,household_income_inflation,USD_income,2024_income_USD,international_dollars,dollar_day,adj_income,adj_income_24,adj_dollar_day_24,poverty_line,collect_fish,collect_octopus,collect_shark,collect_sea_cucumber,collect_inverts,collect_marine_resources,seaweed_farmer,fish_seagrass,seagrass_only,fish_other_n,fish_coral,coral_only,fish_mangrove,fish_other,fish_seagrass_coral,fish_seagrass_mangrove,habitats_n,prefered_habitat,why_habitat,fish_week,diet_diversity_adj,diet_diversity_weekly,cereals,roots and tubers,milk,fruit,vegetables,nuts_seeds,fish,meat,eggs
HS_TZ_zanzibar_21,21,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,2,1,3,5,8,1,1,1.5,3.5,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,37.69,27.62,0.08,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no marine resources,Reliability,7,8,7,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_28,28,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,0,1,1,3,4,1,0,0.9,1.9,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0.333333333,2,0,0,,0,0,1,1,0,"Handline, Fish Traps",0,0,1,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,69.44,50.87,0.14,2.15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,6,3,3,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_48,48,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,2,4,1,0.5,0.6,2.1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,62.82,46.03,0.13,2.15,1,1,0,1,1,4,0,1,0,1,1,0,0,0,1,0,2,seagrass,Empty,6,7,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_9,9,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,2,1,2,3,1,4,1,1,0.3,2.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1.5,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,57.36,42.03,0.12,2.15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,4,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_95,95,Tanzania,Zanzibar,Unguja North,Nungwi,Zanzibar,0.351,0.904,6.84,1,1,1,2,0.56,0.529,55.4,1,2,5,7,4,11,1,3,1.2,5.2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,25.37,18.59,0.05,2.15,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,seagrass,Empty,7,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_96,96,Tanzania,Zanzibar,Unguja North,Nungwi,Zanzibar,0.351,0.904,6.84,1,1,1,2,0.56,0.529,55.4,1,1,5,6,0,6,1,2.5,0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,1,0,0,,0,0,1,1,1,Fishing net  ,0,0,0,1,0,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,300000,384000,131.93,168.8704,96.66213563,0.36,37.69,27.62,0.08,2.15,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,other substrate,Empty,6,4,4,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_32,32,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,2,3,5,4,9,1,2,1.2,4.2,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1.25,3,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,360000,460800,158.31,202.6368,115.9945628,0.43,37.69,27.62,0.08,2.15,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,6,7,7,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_46,46,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,3,5,1,0.5,0.9,2.4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,360000,460800,158.31,202.6368,115.9945628,0.43,65.96,48.33,0.13,2.15,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,other substrate,Empty,4,5,5,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_51,51,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,0,2,1,0.5,0,1.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.666666667,2,0,0,,0,0,1,1,0,Spear,0,0,0,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,400000,512000,175.9,225.152,128.8828475,0.48,117.27,85.92,0.24,2.15,1,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,6,5,5,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_10,10,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,4,2,6,3,9,1,2.5,0.9,4.4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,500000,640000,219.88,281.4464,161.1035594,0.6,49.97,36.61,0.10,2.15,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,6,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_45,45,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,2,3,5,2,7,1,2,0.6,3.6,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2.5,1,1,1,Traditiol Boat,0,1,1,1,0,Handline,0,0,0,0,1,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,550000,704000,241.86,309.5808,177.2139153,0.66,67.18,49.23,0.13,2.15,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,coral reef,Empty,6,2,2,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_44,44,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,1,3,1,0.5,0.3,1.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.666666667,2,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,Livelihood security,0,TZS,"3,972.60",2017,1.28,1680000,2150400,738.79,945.6512,541.3079595,2.02,410.44,300.73,0.82,2.15,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,other substrate,Empty,6,4,4,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_33,33,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,2,2,3,5,6,11,1,2,1.8,4.8,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,4,0,0,,0,0,0,0,0,,1,0,0,0,0,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,54.97,40.28,0.11,2.15,0,1,0,1,1,3,1,1,1,0,0,0,0,0,0,0,1,seagrass,Accessability,7,7,7,1,1,0,1,1,1,0,0,0
HS_TZ_zanzibar_38,38,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,2,0,2,0,2,1,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,1,1,0,Handline,0,0,0,0,1,0,0,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,175.90,128.88,0.35,2.15,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,6,7,7,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_39,39,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,5,7,1,0.5,1.5,3,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,1,1,1,Fishing net  ,0,0,0,1,0,1,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,87.95,64.44,0.18,2.15,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,2,6,6,1,1,1,1,1,1,0,0,0
HS_TZ_zanzibar_47,47,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,1,2,4,6,1,0.5,1.2,2.7,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,Traditiol Boat,0,1,1,1,1,Fishing net  ,0,0,0,1,0,2,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,97.72,71.60,0.20,2.15,1,1,0,0,0,2,1,0,0,2,1,0,0,1,0,0,2,other substrate,Empty,7,4,3,1,0,0,1,1,1,0,0,0
HS_TZ_zanzibar_50,50,Tanzania,Zanzibar,Unguja North,Kidoti,Zanzibar,0.742,2.27,1.28,1,1,1,2,0.56,0.529,55.4,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,1,1,0,Spear,0,0,0,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,263.85,193.32,0.53,2.15,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,6,5,5,1,1,0,1,1,1,0,0,0
HS_TZ_zanzibar_6,6,Tanzania,Zanzibar,Unguja South,Unguga Ukuu,Zanzibar,1.41,5.71,1.05,1,1,1,2,0.612,0.529,55.4,1,1,1,2,2,4,1,0.5,0.6,2.1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,0,0,1,1,0,Spear,0,0,0,0,1,0,1,1,1,Food & livelihood security,0,TZS,"3,972.60",2017,1.28,600000,768000,263.85,337.728,193.3242713,0.72,125.64,92.06,0.25,2.15,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,7,8,8,1,1,0,1,1,0,0,0,0
HS_ID_binongko_13,13,Indonesia,Wakatobi,Binongko,Makoro,Binongko,0.069,0.264,45.8,1,1,0,2,0.685,0.718,3.6,1,2,2,4,2,4,1,1.5,0.6,3.1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,Traditiol Boat,0,1,0,0,0,,1,0,0,0,0,1,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2015,1.33,2400000,3192000,177.78,236.4474,204.4476327,0.49,57.35,65.95,0.18,2.15,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,coral reef,Empty,7,5,5,1,1,0,0,1,1,0,0,0
HS_ID_binongko_38,38,Indonesia,Wakatobi,Binongko,Oihu,Binongko,0.122,0.235,59,1,1,0,2,0.685,0.718,3.6,1,1,1,2,3,5,1,0.5,0.9,2.4,0,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0.5,3,1,1,Motorboat,1,0,0,0,0,,1,0,0,0,0,1,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2015,1.33,2400000,3192000,177.78,236.4474,204.4476327,0.49,74.08,85.19,0.23,2.15,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,coral reef,Reliability,7,7,7,1,1,0,1,1,0,0,0,0
HS_ID_binongko_43,43,Indonesia,Wakatobi,Binongko,Jaya Makmur,Binongko,0.14,0.46,52.8,1,1,0,2,0.685,0.718,3.6,1,1,1,2,2,4,1,0.5,0.6,2.1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0.666666667,2,1,1,Motorboat,1,0,0,0,0,,1,0,0,0,0,1,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2015,1.33,2400000,3192000,177.78,236.4474,204.4476327,0.49,84.66,97.36,0.27,2.15,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Empty,7,4,4,1,1,0,1,1,0,0,0,0
HS_ID_tomia_3,3,Indonesia,Wakatobi,Tomia,Kel. Onemai,Tomia,0.2,0.65,17.4,1,1,0,2,0.685,0.718,3.6,1,3,2,5,4,9,1,2,1.2,4.2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1.666666667,2,1,1,Traditiol Boat,0,1,1,1,1,Fish Trap,0,0,1,0,0,2,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2015,1.33,2400000,3192000,177.78,236.4474,204.4476327,0.49,42.33,48.68,0.13,2.15,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,7,4,4,1,1,0,1,1,1,0,0,0
HS_ID_tomia_8,8,Indonesia,Wakatobi,Tomia,Kahianga,Tomia,2.77,2.91,24.2,1,1,0,2,0.685,0.718,3.6,1,3,2,5,3,8,1,2,0.9,3.9,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2.5,1,0,0,,0,0,1,1,1,Fishing net,0,0,0,1,0,1,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2015,1.33,2400000,3192000,177.78,236.4474,204.4476327,0.49,45.58,52.42,0.14,2.15,1,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,2,seagrass,Empty,7,6,6,1,1,0,1,1,0,0,0,0
HS_KH_daemthkov_8,8,Cambodia,Sihanoukville,Koh Rong Archipelago,Daem Thkov,DaemThkov,1.01,0.431,1.56,1,1,1,2,0.585,0.594,37.2,1,3,1,4,0,4,1,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,Livelihood security,0,USD,"5,624.10",2016,1.31,2449198.5,3208450.035,600,786,570.48,1.64,240.00,228.19,0.63,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no marine resources,Reliability,7,3,3,1,1,0,1,1,1,0,0,0
HS_ID_kaledupa_25,25,Indonesia,Wakatobi,Kaledupa,Peropa,Kaledupa,0.214,0.521,0.371,1,1,1,2,0.685,0.718,3.6,1,1,1,2,0,2,1,0.5,0,1.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,1,1,Food & livelihood security,0,IDR,"15,612.80",2012,1.37,2400000,3288000,177.78,243.5586,210.5964337,0.49,118.52,140.40,0.38,2.15,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,other substrate,Empty,7,6,6,1,1,1,1,1,0,0,0,0
HS_ID_wangiwangi_122,122,Indonesia,Wakatobi,Wangiwangi,Wandoka,WangiWangi,0.031,0.321,1.82,1,1,1,2,0.685,0.718,3.6,1,1,1,2,4,6,1,0.5,1.2,2.7,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,Motorboat,1,0,1,1,1,Fishing net,0,0,0,1,0,2,0,1,0,Livelihood security,0,IDR,"15,612.80",2015,1.33,7800000,10374000,577.78,768.4474,664.4548063,1.58,213.99,246.09,0.67,2.15,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,2,seagrass,Empty,7,8,8,1,1,1,1,1,1,0,0,0
HS_ID_kaledupa_43,43,Indonesia,Wakatobi,Kaledupa,Sandi,Kaledupa,0.81,1.88,0.528,1,1,1,2,0.685,0.718,3.6,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.5,1,1,1,Traditiol Boat,0,1,0,0,0,,1,0,0,0,0,1,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2012,1.37,2400000,3288000,177.78,243.5586,210.5964337,0.49,177.78,210.60,0.58,2.15,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,seagrass,Reliability,7,3,3,1,1,0,1,1,1,0,0,0
HS_ID_kaledupa_46,46,Indonesia,Wakatobi,Kaledupa,Sandi,Kaledupa,0.81,1.88,0.528,1,1,1,2,0.685,0.718,3.6,1,1,3,4,2,6,1,1.5,0.6,3.1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,Traditiol Boat,0,1,1,1,1,Fish Trap,0,0,1,0,0,2,1,1,1,Food & livelihood security,0,IDR,"15,612.80",2012,1.37,2400000,3288000,177.78,243.5586,210.5964337,0.49,57.35,67.93,0.19,2.15,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,coral reef,Suitability,7,5,4,1,1,1,1,1,1,0,0,0
